"","code","game_type","rival","pay_competitive","n"
"540","sujeto_0036567","competitive","2","1",4
"541","sujeto_0036567","competitive","2","2",8
"542","sujeto_0036567","competitive","2","3",8
"543","sujeto_0036567","competitive","2","4",8
"544","sujeto_0036567","competitive","3","1",4
"545","sujeto_0036567","competitive","3","2",8
"546","sujeto_0036567","competitive","3","3",8
"547","sujeto_0036567","competitive","3","4",7
"548","sujeto_0036567","competitive","4","1",4
"549","sujeto_0036567","competitive","4","2",8
"550","sujeto_0036567","competitive","4","3",8
"551","sujeto_0036567","competitive","4","4",8
"552","sujeto_0036567","individual","1","1",3
"553","sujeto_0036567","individual","2","1",3
"554","sujeto_0036567","individual","3","1",4
"555","sujeto_0036567","individual","3","4",1
"556","sujeto_0036567","individual","4","1",4
"557","sujeto_0039609","competitive","1","1",1
"558","sujeto_0039609","competitive","1","2",7
"559","sujeto_0039609","competitive","1","3",8
"560","sujeto_0039609","competitive","1","4",3
"561","sujeto_0039609","competitive","2","1",1
"562","sujeto_0039609","competitive","2","2",7
"563","sujeto_0039609","competitive","2","3",8
"564","sujeto_0039609","competitive","2","4",7
"565","sujeto_0039609","competitive","3","2",8
"566","sujeto_0039609","competitive","3","3",8
"567","sujeto_0039609","competitive","3","4",4
"568","sujeto_0039609","competitive","4","2",6
"569","sujeto_0039609","competitive","4","3",8
"570","sujeto_0039609","competitive","4","4",3
"571","sujeto_0039609","individual","1","1",7
"572","sujeto_0039609","individual","1","2",1
"573","sujeto_0039609","individual","1","4",5
"574","sujeto_0039609","individual","2","1",7
"575","sujeto_0039609","individual","2","2",1
"576","sujeto_0039609","individual","2","4",1
"577","sujeto_0039609","individual","3","1",8
"578","sujeto_0039609","individual","3","4",4
"579","sujeto_0039609","individual","4","1",8
"580","sujeto_0039609","individual","4","2",2
"581","sujeto_0039609","individual","4","4",5
"582","sujeto_0040017","competitive","1","1",7
"583","sujeto_0040017","competitive","1","2",7
"584","sujeto_0040017","competitive","1","3",6
"585","sujeto_0040017","competitive","1","4",7
"586","sujeto_0040017","competitive","2","1",7
